UniProtKBID	EntrezGeneID	GeneSymbol	Domain	ProteinFamilies
P11274	613	BCR	DH;PH;C2;Rho-GAP	
Q9Y276	617	BCS1		AAA ATPase family, BCS1 subfamily
Q02338	622	BDH		Short-chain dehydrogenases/reductases (SDR) family
P46663	623	BKRB1		G-protein coupled receptor 1 family, Bradykinin receptor subfamily, BDKRB1 sub-subfamily
P30411	624	BKRB2		G-protein coupled receptor 1 family, Bradykinin receptor subfamily, BDKRB2 sub-subfamily
P23560	627	BDNF		NGF-beta family
P00751	629	CFAB	Sushi 1;Sushi 2;Sushi 3;VWFA;Peptidase S1	Peptidase S1 family
Q12934	631	BFSP1	IF rod	Intermediate filament family
P02818	632	OSTCN	Gla	Osteocalcin/matrix Gla protein family
P21810	633	PGS1		Small leucine-rich proteoglycan (SLRP) family, SLRP class I subfamily
P13688	634	CEAM1	Ig-like V-type;Ig-like C2-type 1;Ig-like C2-type 2;Ig-like C2-type 3	Immunoglobulin superfamily, CEA family
Q93088	635	BHMT1	Hcy-binding	
Q96G01	636	BICD1		BicD family
P55957	637	BID		
Q13323	638	BIK		
O75626	639	PRDM1	SET	Class V-like SAM-binding methyltransferase superfamily
P51451	640	BLK	SH3;SH2;Protein kinase	Protein kinase superfamily, Tyr protein kinase family, SRC subfamily
P54132	641	BLM	Helicase ATP-binding;Helicase C-terminal;HRDC	Helicase family, RecQ subfamily
Q13867	642	BLMH		Peptidase C1 family
P32302	643	CXCR5		G-protein coupled receptor 1 family
P53004	644	BIEA		Gfo/Idh/MocA family, Biliverdin reductase subfamily
P30043	645	BLVRB		
Q01954	646	BNC1		
P35226	648	BMI1		
P13497	649	BMP1	Peptidase M12A;CUB 1;CUB 2;EGF-like ;CUB 3;EGF-like ;CUB 4;CUB 5	
P12643	650	BMP2		TGF-beta family
P12645	651	BMP3		TGF-beta family
P12644	652	BMP4		TGF-beta family
P22003	653	BMP5		TGF-beta family
P22004	654	BMP6		TGF-beta family
P18075	655	BMP7		TGF-beta family
P34820	656	BMP8B		TGF-beta family
P36894	657	BMR1A	GS;Protein kinase	Protein kinase superfamily, TKL Ser/Thr protein kinase family, TGFB receptor subfamily
O00238	658	BMR1B	GS;Protein kinase	Protein kinase superfamily, TKL Ser/Thr protein kinase family, TGFB receptor subfamily
Q13873	659	BMPR2	Protein kinase	Protein kinase superfamily, TKL Ser/Thr protein kinase family, TGFB receptor subfamily
P51813	660	BMX	PH;SH2;Protein kinase	Protein kinase superfamily, Tyr protein kinase family, TEC subfamily
P05423	661	RPC4		Eukaryotic RPC4/POLR3D RNA polymerase subunit family
Q12981	662	SEC20		SEC20 family
Q12982	663	BNIP2	CRAL-TRIO	
Q12983	664	BNIP3		NIP3 family
O60238	665	BNI3L		NIP3 family
Q9UMX3	666	BOK		Bcl-2 family
Q03001	667	DYST	Calponin-homology (CH) 1;Calponin-homology (CH) 2;SH3;EF-hand 1;EF-hand 2;GAR	
P58012	668	FOXL2		
P07738	669	PMGE		Phosphoglycerate mutase family, BPG-dependent PGAM subfamily
Q86WA6	670	BPHL	AB hydrolase-1	AB hydrolase superfamily, Lipase family
P17213	671	BPI		BPI/LBP/Plunc superfamily, BPI/LBP family
P38398	672	BRCA1	BRCT 1;BRCT 2	
P15056	673	BRAF	RBD;Protein kinase	Protein kinase superfamily, TKL Ser/Thr protein kinase family, RAF subfamily
P51587	675	BRCA2		
Q58F21	676	BRDT	Bromo 1;Bromo 2;NET	
Q07352	677	TISB		
P47974	678	TISD		
P35613	682	BASI	Ig-like;Ig-like C2-type;Ig-like V-type	
Q10588	683	BST1		ADP-ribosyl cyclase family
Q10589	684	BST2		Tetherin family
P35070	685	BTC	EGF-like	
P43251	686	BTD	CN hydrolase	Carbon-nitrogen hydrolase superfamily, BTD/VNN family
Q13886	687	KLF9		Sp1 C2H2-type zinc-finger protein family
Q13887	688	KLF5		Krueppel C2H2-type zinc-finger protein family
P20290	689	BTF3	NAC-A/B	NAC-beta family
P62324	694	BTG1		BTG family
Q06187	695	BTK	PH;SH3;SH2;Protein kinase	Protein kinase superfamily, Tyr protein kinase family, TEC subfamily
Q13410	696	BT1A1	Ig-like V-type 1;Ig-like V-type 2;B30.2/SPRY	Immunoglobulin superfamily, BTN/MOG family
O43683	699	BUB1	BUB1 N-terminal;Protein kinase	Protein kinase superfamily, Ser/Thr protein kinase family, BUB1 subfamily
O60566	701	BUB1B	BUB1 N-terminal;Protein kinase	Protein kinase superfamily, Ser/Thr protein kinase family, BUB1 subfamily
Q13895	705	BYST		Bystin family
P30536	706	TSPO		TspO/BZRP family
Q07021	708	C1QBP		MAM33 family
P05155	710	IC1		Serpin family
P02745	712	C1QA	Collagen-like;C1q	
P02746	713	C1QB	Collagen-like 1;Collagen-like 2;C1q	
P02747	714	C1QC	Collagen-like;C1q	
P00736	715	C1R	CUB 1;EGF-lik;CUB 2;Sushi 1;Sushi 2;Peptidase S1	Peptidase S1 family
P09871	716	C1S	CUB 1;EGF-lik;CUB 2;Sushi 1;Sushi 2;Peptidase S1	Peptidase S1 family
P06681	717	CO2	Sushi 1;Sushi 2;Sushi 3;VWFA;Peptidase S1	Peptidase S1 family
P01024	718	CO3	Anaphylatoxin-like;NTR	
Q16581	719	C3AR		G-protein coupled receptor 1 family
P0C0L4	720721	CO4A	Anaphylatoxin-like;NTR	
P0C0L5	721	CO4B	Anaphylatoxin-like;NTR	
P04003	722	C4BPA	Sushi 1;Sushi 2;Sushi 3;Sushi 4;Sushi 5;Sushi 6;Sushi 7;Sushi 8	
P20851	725	C4BPB	Sushi 1;Sushi 2;Sushi 3	
O15484	726	CAN5	Calpain catalytic;C2	Peptidase C2 family
P01031	727	CO5	Anaphylatoxin-like;NTR	
P21730	728	C5AR1		G-protein coupled receptor 1 family
P13671	729	CO6	TSP type-1 1;TSP type-1 2;LDL-receptor class A;MACPF;EGF-like;TSP type-1 3;Sushi 1;Sushi 2;Kazal-like 1;Kazal-like 2	Complement C6/C7/C8/C9 family
P10643	730	CO7	TSP type-1 1;LDL-receptor class A;MACPF;EGF-like;TSP type-1 2;Sushi 1;Sushi 2	Complement C6/C7/C8/C9 family
P07357	731	CO8A	TSP type-1 1;LDL-receptor class A;MACPF;EGF-like;TSP type-1 2	Complement C6/C7/C8/C9 family
P07358	732	CO8B	TSP type-1 1;LDL-receptor class A;MACPF;EGF-like;TSP type-1 2	Complement C6/C7/C8/C9 family
P07360	733	CO8G		Calycin superfamily, Lipocalin family
Q9Y236	734	OSGI2		OKL38 family
P02748	735	CO9	TSP type-1;LDL-receptor class A;MACPF;EGF-like	Complement C6/C7/C8/C9 family
Q9UID3	738	VPS51		VPS51 family
Q13405	740	RM49		Mitochondrion-specific ribosomal protein mL49 family
Q9UHR6	741	ZNHI2		
Q15777	744	MPPD2		UPF0046 family
Q9Y2G1	745	MYRF	Peptidase S74	MRF family
Q9Y4D2	747	DGLA		AB hydrolase superfamily, Lipase family
O95466	752	FMNL1	GBD/FH3;FH2;DAD	Formin homology family
O15165	753	LRAD4	LDL-receptor class A	PMEPA1 family
P53801	754	PTTG	PSI	
O43822	755	CF410	LRRCT	
O15442	758	MPPD1		UPF0046 family
P00915	759	CAH1	Alpha-carbonic anhydrase	Alpha-carbonic anhydrase family
P00918	760	CAH2	Alpha-carbonic anhydrase	Alpha-carbonic anhydrase family
P07451	761	CAH3	Alpha-carbonic anhydrase	Alpha-carbonic anhydrase family
P22748	762	CAH4	Alpha-carbonic anhydrase	Alpha-carbonic anhydrase family
P35218	763	CAH5A	Alpha-carbonic anhydrase	Alpha-carbonic anhydrase family
P23280	765	CAH6	Alpha-carbonic anhydrase	Alpha-carbonic anhydrase family
P35219	767	CAH8	Alpha-carbonic anhydrase	Alpha-carbonic anhydrase family
Q16790	768	CAH9	Alpha-carbonic anhydrase	Alpha-carbonic anhydrase family
O75493	770	CAH11	Alpha-carbonic anhydrase	Alpha-carbonic anhydrase family
O43570	771	CAH12	Alpha-carbonic anhydrase	Alpha-carbonic anhydrase family
O00555	773	CAC1A		Calcium channel alpha-1 subunit (TC 1.A.1.11) family, CACNA1A subfamily
Q00975	774	CAC1B	EF-hand	Calcium channel alpha-1 subunit (TC 1.A.1.11) family, CACNA1B subfamily
Q13936	775	CAC1C		Calcium channel alpha-1 subunit (TC 1.A.1.11) family, CACNA1C subfamily
Q01668	776	CAC1D		Calcium channel alpha-1 subunit (TC 1.A.1.11) family, CACNA1D subfamily
Q15878	777	CAC1E	EF-hand	Calcium channel alpha-1 subunit (TC 1.A.1.11) family, CACNA1E subfamily
O60840	778	CAC1F		Calcium channel alpha-1 subunit (TC 1.A.1.11) family, CACNA1F subfamily
Q13698	779	CAC1S		Calcium channel alpha-1 subunit (TC 1.A.1.11) family, CACNA1S subfamily
Q08345	780	DDR1	F5/8 type C;Protein kinase	Protein kinase superfamily, Tyr protein kinase family, Insulin receptor subfamily
P54289	781	CA2D1	VWFA;Cache	Calcium channel subunit alpha-2/delta family
Q02641	782	CACB1	SH3	Calcium channel beta subunit family
Q08289	783	CACB2	SH3	Calcium channel beta subunit family
P54284	784	CACB3	SH3	Calcium channel beta subunit family
O00305	785	CACB4	SH3	Calcium channel beta subunit family
Q06432	786	CCG1		PMP-22/EMP/MP20 family, CACNG subfamily
O43772	788	MCAT		Mitochondrial carrier (TC 2.A.29) family
P27708	790	PYR1	Glutamine amidotransferase type-1;ATP-grasp 1;ATP-grasp 2;MGS-like	Metallo-dependent hydrolases superfamily, DHOase family, CAD subfamily
P05937	793	CALB1	EF-hand 1;EF-hand 2;EF-hand 3;EF-hand 4;EF-hand 5	Calbindin family
P22676	794	CALB2	EF-hand 1;EF-hand 2;EF-hand 3;EF-hand 4;EF-hand 5;EF-hand 6	Calbindin family
P29377	795	S100G	EF-hand 1;EF-hand 2	S-100 family
P01258	796	CALC		Calcitonin family
P06881	796	CALCA		Calcitonin family
P30988	799	CALCR		G-protein coupled receptor 2 family
Q05682	800	CALD1		Caldesmon family
P0DP23	801805808	CALM1	EF-hand 1;EF-hand 2;EF-hand 3;EF-hand 4	Calmodulin family
P0DP24	801805808	CALM2	EF-hand 1;EF-hand 2;EF-hand 3;EF-hand 4	Calmodulin family
P0DP25	801805808	CALM3	EF-hand 1;EF-hand 2;EF-hand 3;EF-hand 4	Calmodulin family
P27482	810	CALL3	EF-hand 1;EF-hand 2;EF-hand 3;EF-hand 4	Calmodulin family
P27797	811	CALR		Calreticulin family
O43852	813	CALU	EF-hand 1;EF-hand 2;EF-hand 3;EF-hand 4;EF-hand 5;EF-hand 6	CREC family
Q16566	814	KCC4	Protein kinase	Protein kinase superfamily, CAMK Ser/Thr protein kinase family, CaMK subfamily
Q9UQM7	815	KCC2A	Protein kinase	Protein kinase superfamily, CAMK Ser/Thr protein kinase family, CaMK subfamily
Q13554	816	KCC2B	Protein kinase	Protein kinase superfamily, CAMK Ser/Thr protein kinase family, CaMK subfamily
Q13557	817	KCC2D	Protein kinase	Protein kinase superfamily, CAMK Ser/Thr protein kinase family, CaMK subfamily
Q13555	818	KCC2G	Protein kinase	Protein kinase superfamily, CAMK Ser/Thr protein kinase family, CaMK subfamily
P49069	819	CAMLG		
P49913	820	CAMP		Cathelicidin family
P27824	821	CALX		Calreticulin family
P40121	822	CAPG		Villin/gelsolin family
P07384	823	CAN1	Calpain catalytic;EF-hand 1;EF-hand 2;EF-hand 3;EF-hand 4	Peptidase C2 family
P17655	824	CAN2	Calpain catalytic;EF-hand 1;EF-hand 2;EF-hand 3	Peptidase C2 family
P20807	825	CAN3	Calpain catalytic;EF-hand 1;EF-hand 2;EF-hand 3;EF-hand 4	Peptidase C2 family
P04632	826	CPNS1	EF-hand ;EF-hand 2;EF-hand 3;EF-hand 4;EF-hand 5	
Q9Y6Q1	827	CAN6	Calpain catalytic;C2	Peptidase C2 family
P52907	829	CAZA1		F-actin-capping protein alpha subunit family
P47755	830	CAZA2		F-actin-capping protein alpha subunit family
P20810	831	ICAL		Protease inhibitor I27 (calpastatin) family
P47756	832	CAPZB		F-actin-capping protein beta subunit family
P49589	833	SYCC		Class-I aminoacyl-tRNA synthetase family
P29466	834	CASP1	CARD	Peptidase C14A family
P42575	835	CASP2	CARD	Peptidase C14A family
P42574	836	CASP3		Peptidase C14A family
P49662	837	CASP4	CARD	Peptidase C14A family
P51878	838	CASP5	CARD	Peptidase C14A family
P55212	839	CASP6		Peptidase C14A family
P55210	840	CASP7		Peptidase C14A family
Q14790	841	CASP8	DED 1;DED 2	Peptidase C14A family
P55211	842	CASP9	CARD	Peptidase C14A family
Q92851	843	CASPA	DED 1;DED 2	Peptidase C14A family
O14958	845	CASQ2		Calsequestrin family
P41180	846	CASR		G-protein coupled receptor 3 family
P04040	847	CATA		Catalase family
Q03135	857	CAV1		Caveolin family
P51636	858	CAV2		Caveolin family
P56539	859	CAV3		Caveolin family
Q13950	860	RUNX2	Runt	
Q01196	861	RUNX1	Runt	
Q06455	862	MTG8	TAFH	CBFA2T family
O75081	863	MTG16	TAFH	CBFA2T family
Q13761	864	RUNX3	Runt	
Q13951	865	PEBB		CBF-beta family
P08185	866	CBG		Serpin family
P22681	867	CBL	Cbl-PTB;UBA	
Q13191	868	CBLB	Cbl-PTB;UBA	
P23435	869	CBLN1	C1q	
P50454	871	SERPH		Serpin family
P16152	873	CBR1		Short-chain dehydrogenases/reductases (SDR) family
O75828	874	CBR3		Short-chain dehydrogenases/reductases (SDR) family
P0DN79	875	CBSL	CBS	Cysteine synthase/cystathionine beta-synthase family
P35520	875	CBS	CBS	Cysteine synthase/cystathionine beta-synthase family
Q13939	881	CALI	BTB;BACK	
Q16773	883	KAT1		Class-I pyridoxal-phosphate-dependent aminotransferase family
P06307	885	CCKN		Gastrin/cholecystokinin family
P32238	886	CCKAR		G-protein coupled receptor 1 family
P32239	887	GASR		G-protein coupled receptor 1 family
O00522	889	KRIT1	FERM	
P20248	890	CCNA2		Cyclin family, Cyclin AB subfamily
P14635	891	CCNB1		Cyclin family, Cyclin AB subfamily
P24863	892	CCNC	Cyclin N-terminal	Cyclin family, Cyclin C subfamily
P30279	894	CCND2	Cyclin N-terminal	Cyclin family, Cyclin D subfamily
P30281	896	CCND3	Cyclin N-terminal	Cyclin family, Cyclin D subfamily
P24864	898	CCNE1		Cyclin family, Cyclin E subfamily
P41002	899	CCNF	F-box;Cyclin N-terminal	Cyclin family, Cyclin AB subfamily
P51959	900	CCNG1		Cyclin family, Cyclin G subfamily
Q16589	901	CCNG2		Cyclin family, Cyclin G subfamily
P51946	902	CCNH		Cyclin family, Cyclin C subfamily
O60563	904	CCNT1		Cyclin family, Cyclin C subfamily
O60583	905	CCNT2	Cyclin N-terminal	Cyclin family, Cyclin C subfamily
P40227	908	TCPZ		TCP-1 chaperonin family
P06126	909	CD1A	Ig-like	
P29016	910	CD1B	Ig-like	
P29017	911	CD1C	Ig-like	
P15813	912	CD1D	Ig-like	
P15812	913	CD1E	Ig-like	
P06729	914	CD2	Ig-like V-type;Ig-like C2-type	
P04234	915	CD3D	ITAM	
P07766	916	CD3E	Ig-like;ITAM	
P09693	917	CD3G	Ig-like;ITAM	
P20963	919	CD3Z	ITAM 1;ITAM 2;ITAM 3	CD3Z/FCER1G family
P01730	920	CD4	Ig-like V-type;Ig-like C2-type 1;Ig-like C2-type 2;Ig-like C2-type 3	
P06127	921	CD5	SRCR 1;SRCR 2;SRCR 3	
O43866	922	CD5L	SRCR 1;SRCR 2;SRCR 3	
P30203	923	CD6	SRCR 1;SRCR 2;SRCR 3	
P09564	924	CD7	Ig-like	
P01732	925	CD8A	Ig-like V-type	
P10966	926	CD8B	Ig-like V-type	
P21926	928	CD9		Tetraspanin (TM4SF) family
P08571	929	CD14		
P15391	930	CD19	Ig-like C2-type 1;Ig-like C2-type 2	
P11836	931	CD20		MS4A family
Q96HJ5	932	MS4A3		MS4A family
P20273	933	CD22	Ig-like V-type;Ig-like C2-type 1;Ig-like C2-type 2;Ig-like C2-type 3;Ig-like C2-type 4;Ig-like C2-type 5;Ig-like C2-type 6	Immunoglobulin superfamily, SIGLEC (sialic acid binding Ig-like lectin) family
P26842	939	CD27		
P10747	940	CD28	Ig-like V-type	
P33681	941	CD80	Ig-like V-type;Ig-like C2-type	
P42081	942	CD86	Ig-like V-type;Ig-like C2-type	
P28908	943	TNR8		TNFR8 family
P32971	944	TNFL8		Tumor necrosis factor family
P20138	945	CD33	Ig-like V-type;Ig-like C2-type	Immunoglobulin superfamily, SIGLEC (sialic acid binding Ig-like lectin) family
O43699	946	SIGL6	Ig-like V-type;Ig-like C2-type 1;Ig-like C2-type 2	Immunoglobulin superfamily, SIGLEC (sialic acid binding Ig-like lectin) family
P28906	947	CD34		CD34 family
P16671	948	CD36		CD36 family
Q8WTV0	949	SCRB1		CD36 family
Q14108	950	SCRB2		CD36 family
P11049	951	CD37		Tetraspanin (TM4SF) family
P28907	952	CD38		ADP-ribosyl cyclase family
P49961	953	ENTP1		GDA1/CD39 NTPase family
Q9Y5L3	954	ENTP2		GDA1/CD39 NTPase family
O75354	955	ENTP6		GDA1/CD39 NTPase family
O75355	956	ENTP3		GDA1/CD39 NTPase family
O75356	957	ENTP5		GDA1/CD39 NTPase family
P25942	958	TNR5		
P29965	959	CD40L		Tumor necrosis factor family
P16070	960	CD44	Link	
Q08722	961	CD47	Ig-like V-type	
P09326	962	CD48	Ig-like C2-type 1;Ig-like C2-type 2	
P19397	963	CD53		Tetraspanin (TM4SF) family
P19256	965	LFA3	Ig-like	
P13987	966	CD59	UPAR/Ly6	
P08962	967	CD63		Tetraspanin (TM4SF) family
P34810	968	CD68		LAMP family
Q07108	969	CD69	C-type lectin	
P32970	970	CD70		Tumor necrosis factor family
P21854	971	CD72	C-type lectin	
P04233	972	HG2A	Thyroglobulin type-1	
P11912	973	CD79A	Ig-like C2-type;ITAM	
P40259	974	CD79B	Ig-like V-type;ITAM	
P60033	975	CD81		Tetraspanin (TM4SF) family
P48960	976	AGRE5	EGF-like 1;EGF-like ;EGF-like ;EGF-like ;EGF-like ;GPS	G-protein coupled receptor 2 family, LN-TM7 subfamily
P48509	977	CD151		Tetraspanin (TM4SF) family
P32320	978	CDD	CMP/dCMP-type deaminase	Cytidine and deoxycytidylate deaminase family
P06493	983	CDK1	Protein kinase	Protein kinase superfamily, CMGC Ser/Thr protein kinase family, CDC2/CDKX subfamily
P21127	984	CD11B	Protein kinase	Protein kinase superfamily, CMGC Ser/Thr protein kinase family, CDC2/CDKX subfamily
P50851	987	LRBA	BEACH-type PH;BEACH	
Q99459	988	CDC5L	HTH myb-type 1;HTH myb-type 2	CEF1 family
Q16181	989	SEPT7	Septin-type G	TRAFAC class TrmE-Era-EngA-EngB-Septin-like GTPase superfamily, Septin GTPase family
Q99741	990	CDC6		CDC6/cdc18 family
Q12834	991	CDC20		WD repeat CDC20/Fizzy family
P30304	993	MPIP1	Rhodanese	MPI phosphatase family
P30305	994	MPIP2	Rhodanese	MPI phosphatase family
P30307	995	MPIP3	Rhodanese	MPI phosphatase family
P30260	996	CDC27		APC3/CDC27 family
P49427	997	UB2R1		Ubiquitin-conjugating enzyme family
P60953	998	CDC42		Small GTPase superfamily, Rho family, CDC42 subfamily
P12830	999	CADH1	Cadherin 1;Cadherin 2;Cadherin 3;Cadherin 4;Cadherin 5	
P19022	1000	CADH2	Cadherin 1;Cadherin 2;Cadherin 3;Cadherin 4;Cadherin 5	
P22223	1001	CADH3	Cadherin 1;Cadherin 2;Cadherin 3;Cadherin 4;Cadherin 5	
P55283	1002	CADH4	Cadherin 1;Cadherin 2;Cadherin 3;Cadherin 4;Cadherin 5	
P33151	1003	CADH5	Cadherin 1;Cadherin 2;Cadherin 3;Cadherin 4;Cadherin 5	
P55285	1004	CADH6	Cadherin 1;Cadherin 2;Cadherin 3;Cadherin 4;Cadherin 5	
Q9ULB5	1005	CADH7	Cadherin 1;Cadherin 2;Cadherin 3;Cadherin 4;Cadherin 5	
P55286	1006	CADH8	Cadherin 1;Cadherin 2;Cadherin 3;Cadherin 4;Cadherin 5	
Q9ULB4	1007	CADH9	Cadherin 1;Cadherin 2;Cadherin 3;Cadherin 4;Cadherin 5	
Q9Y6N8	1008	CAD10	Cadherin 1;Cadherin 2;Cadherin 3;Cadherin 4;Cadherin 5	
P55287	1009	CAD11	Cadherin 1;Cadherin 2;Cadherin 3;Cadherin 4;Cadherin 5	
P55289	1010	CAD12	Cadherin 1;Cadherin 2;Cadherin 3;Cadherin 4;Cadherin 5	
P55290	1012	CAD13	Cadherin 1;Cadherin 2;Cadherin 3;Cadherin 4;Cadherin 5	
P55291	1013	CAD15	Cadherin 1;Cadherin 2;Cadherin 3;Cadherin 4;Cadherin 5	
O75309	1014	CAD16	Cadherin 1;Cadherin 2;Cadherin 3;Cadherin 4;Cadherin 5;Cadherin 6	
Q12864	1015	CAD17	Cadherin 1;Cadherin 2;Cadherin 3;Cadherin 4;Cadherin 5;Cadherin 6;Cadherin 7	
Q13634	1016	CAD18	Cadherin 1;Cadherin 2;Cadherin 3;Cadherin 4;Cadherin 5	
P24941	1017	CDK2	Protein kinase	Protein kinase superfamily, CMGC Ser/Thr protein kinase family, CDC2/CDKX subfamily
Q00526	1018	CDK3	Protein kinase	Protein kinase superfamily, CMGC Ser/Thr protein kinase family, CDC2/CDKX subfamily
P11802	1019	CDK4	Protein kinase	Protein kinase superfamily, CMGC Ser/Thr protein kinase family, CDC2/CDKX subfamily
Q00535	1020	CDK5	Protein kinase	Protein kinase superfamily, CMGC Ser/Thr protein kinase family, CDC2/CDKX subfamily
Q00534	1021	CDK6	Protein kinase	Protein kinase superfamily, CMGC Ser/Thr protein kinase family, CDC2/CDKX subfamily
P50613	1022	CDK7	Protein kinase	Protein kinase superfamily, CMGC Ser/Thr protein kinase family, CDC2/CDKX subfamily
P49336	1024	CDK8	Protein kinase	Protein kinase superfamily, CMGC Ser/Thr protein kinase family, CDC2/CDKX subfamily
P50750	1025	CDK9	Protein kinase	Protein kinase superfamily, CMGC Ser/Thr protein kinase family, CDC2/CDKX subfamily
P38936	1026	CDN1A		CDI family
P46527	1027	CDN1B		CDI family
P49918	1028	CDN1C		CDI family
P42771	1029	CDN2A		CDKN2 cyclin-dependent kinase inhibitor family
Q8N726	1029	ARF		
P42772	1030	CDN2B		CDKN2 cyclin-dependent kinase inhibitor family
P42773	1031	CDN2C		CDKN2 cyclin-dependent kinase inhibitor family
P55273	1032	CDN2D		CDKN2 cyclin-dependent kinase inhibitor family
Q16667	1033	CDKN3		Protein-tyrosine phosphatase family
Q16878	1036	CDO1		Cysteine dioxygenase family
P51861	1038	CDR1		
Q01850	1039	CDR2		CDR2 family
Q92903	1040	CDS1		CDS family
Q15517	1041	CDSN		
P31358	1043	CD52		
P47902	1044	CDX1		Caudal homeobox family
Q99626	1045	CDX2		Caudal homeobox family
O14627	1046	CDX4		Caudal homeobox family
O14967	1047	CLGN		Calreticulin family
P06731	1048	CEAM5	Ig-like V-type;Ig-like C2-type 1;Ig-like C2-type 2;Ig-like C2-type 3;Ig-like C2-type 4;Ig-like C2-type 5;Ig-like C2-type 6	Immunoglobulin superfamily, CEA family
P49715	1050	CEBPA	bZIP	BZIP family, C/EBP subfamily
P17676	1051	CEBPB	bZIP	BZIP family, C/EBP subfamily
P49716	1052	CEBPD	bZIP	BZIP family, C/EBP subfamily
Q15744	1053	CEBPE	bZIP	BZIP family, C/EBP subfamily
P53567	1054	CEBPG	bZIP	BZIP family, C/EBP subfamily
P49450	1058	CENPA		Histone H3 family
P07199	1059	CENPB	HTH psq-type;HTH CENPB-type	
Q03188	1060	CENPC		CENP-C/MIF2 family
Q02224	1062	CENPE	Kinesin motor	TRAFAC class myosin-kinesin ATPase superfamily, Kinesin family
P49454	1063	CENPF		Centromere protein F family
P23141	1066	EST1		Type-B carboxylesterase/lipase family
Q12798	1068	CETN1	EF-hand 1;EF-hand 2;EF-hand 3;EF-hand 4	Centrin family
P41208	1069	CETN2	EF-hand 1;EF-hand 2;EF-hand 3;EF-hand 4	Centrin family
O15182	1070	CETN3	EF-hand 1;EF-hand 2;EF-hand 3;EF-hand 4	Centrin family
P11597	1071	CETP		BPI/LBP/Plunc superfamily, BPI/LBP family
P23528	1072	COF1	ADF-H	Actin-binding proteins ADF family
Q9Y281	1073	COF2	ADF-H	Actin-binding proteins ADF family
P53634	1075	CATC		Peptidase C1 family
P13569	1080	CFTR	ABC transmembrane type-1 1;ABC transporter 1;ABC transmembrane type-1 2;ABC transporter 2	ABC transporter superfamily, ABCC family, CFTR transporter (TC 3.A.1.202) subfamily
